dataset,image_id,method,accuracy,precision,recall,specificity,f1_score,iou,false_positive_rate,false_negative_rate,balanced_accuracy,dice
CHASEDB1,Image_01L,APSRG Baseline,0.9455153069736404,0.6103768745662472,0.6048740375270988,0.9710532362649988,0.6076129972140245,0.4363822672850825,0.0289467637350012,0.3951259624729012,0.7879636368960488,0.6076129972140245
CHASEDB1,Image_01L,CA-APSRG,0.9455153069736404,0.6103768745662472,0.6048740375270988,0.9710532362649988,0.6076129972140245,0.4363822672850825,0.0289467637350012,0.3951259624729012,0.7879636368960488,0.6076129972140245
CHASEDB1,Image_01R,APSRG Baseline,0.9415092175508842,0.613862328795071,0.6196353551717511,0.9679644144337296,0.616735332499778,0.4458549018058245,0.0320355855662704,0.380364644828249,0.7937998848027403,0.616735332499778
CHASEDB1,Image_01R,CA-APSRG,0.9415092175508842,0.613862328795071,0.6196353551717511,0.9679644144337296,0.616735332499778,0.4458549018058245,0.0320355855662704,0.380364644828249,0.7937998848027403,0.616735332499778
CHASEDB1,Image_02L,APSRG Baseline,0.9316973223223224,0.6033120249660241,0.4620663068619892,0.9731701504732077,0.5233261291942279,0.3543951982496082,0.0268298495267924,0.5379336931380108,0.7176182286675984,0.5233261291942279
CHASEDB1,Image_02L,CA-APSRG,0.9316973223223224,0.6033120249660241,0.4620663068619892,0.9731701504732077,0.5233261291942279,0.3543951982496082,0.0268298495267924,0.5379336931380108,0.7176182286675984,0.5233261291942279
CHASEDB1,Image_02R,APSRG Baseline,0.9245380797464132,0.5192140470778478,0.4544665509413806,0.964354464740146,0.4846875200262032,0.319859782343101,0.035645535259854,0.5455334490586193,0.7094105078407633,0.4846875200262032
CHASEDB1,Image_02R,CA-APSRG,0.9245380797464132,0.5192140470778478,0.4544665509413806,0.964354464740146,0.4846875200262032,0.319859782343101,0.035645535259854,0.5455334490586193,0.7094105078407633,0.4846875200262032
CHASEDB1,Image_03L,APSRG Baseline,0.9502106272939608,0.7083282730143309,0.620498430767594,0.9782620009865994,0.6615107607678566,0.4942219491785741,0.0217379990134005,0.3795015692324059,0.7993802158770967,0.6615107607678566
CHASEDB1,Image_03L,CA-APSRG,0.9502106272939608,0.7083282730143309,0.620498430767594,0.9782620009865994,0.6615107607678566,0.4942219491785741,0.0217379990134005,0.3795015692324059,0.7993802158770967,0.6615107607678566
CHASEDB1,Image_03R,APSRG Baseline,0.9488644894894896,0.675183575603177,0.6221261788707695,0.9755531970327728,0.6475699060732586,0.4788195034858017,0.0244468029672271,0.3778738211292304,0.7988396879517712,0.6475699060732586
